Date,Price_EURUSD,Change_EURUSD,Price_inEU,Change_EU,Price_NAS,Change_NAS,Price_GOLD,Change_GOLD
"Dec 02, 2019",1.1079,0.0056,3626.6600,-0.0208,8316.0000,-0.0121,1469.2000,-0.0024
"Dec 03, 2019",1.1083,0.0004,3610.9900,-0.0043,8251.2500,-0.0078,1484.4000,0.0103
"Dec 04, 2019",1.1078,-0.0005,3660.0200,0.0136,8295.2500,0.0053,1480.2000,-0.0028
"Dec 05, 2019",1.1104,0.0023,3648.1300,-0.0032,8309.2500,0.0017,1483.1000,0.0020
"Dec 06, 2019",1.1059,-0.0041,3692.3400,0.0121,8400.2500,0.0110,1465.1000,-0.0121
"Dec 09, 2019",1.1064,0.0005,3672.1800,-0.0055,8356.0000,-0.0053,1464.9000,-0.0001
"Dec 10, 2019",1.1093,0.0026,3671.7800,-0.0001,8363.7500,0.0009,1468.1000,0.0022
"Dec 11, 2019",1.1130,0.0033,3687.4500,0.0043,8405.5000,0.0050,1475.0000,0.0047
"Dec 12, 2019",1.1130,0.0000,3706.3500,0.0051,8465.2500,0.0071,1472.3000,-0.0018
"Dec 13, 2019",1.1121,-0.0008,3731.0700,0.0067,8494.0000,0.0034,1481.2000,0.0060
"Dec 16, 2019",1.1144,0.0021,3772.7400,0.0112,8576.0000,0.0097,1480.5000,-0.0005
"Dec 17, 2019",1.1150,0.0005,3745.2800,-0.0073,8576.2500,0.0000,1480.6000,0.0001
"Dec 18, 2019",1.1113,-0.0033,3739.0000,-0.0017,8590.2500,0.0016,1478.7000,-0.0013
"Dec 19, 2019",1.1122,0.0008,3739.1700,0.0000,8642.5000,0.0061,1484.4000,0.0039
"Dec 20, 2019",1.1079,-0.0039,3776.5600,0.0100,8707.4600,0.0075,1480.9000,-0.0024
"Dec 23, 2019",1.1088,0.0008,3776.6600,0.0000,8726.5000,0.0022,1488.7000,0.0053
